sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BF-T889286,121536,beautyfort,Aeropostale,Aeropostale Kiwi Melon Body Mist 237ml Spray,ean:0810044125252,0810044125252,810044125252,810044125252,missing,,none,,0,0,0,0,0,,,1
BF-B346521,121537,beautyfort,Aeropostale,Aeropostale Blushing Body Mist 237ml Spray,ean:0819029019456,0819029019456,819029019456,819029019456,missing,,none,,0,0,0,0,0,,,1
BF-X723723,121538,beautyfort,Madonna,Madonna Bloom Eau de Toilette 50 ml Spray,ean:5013692247887,5013692247887,5013692247887,5013692247887,missing,,none,https://www.beautyfort.com/pic/MWZUc0p4Q1luVi9KUGtEbWlOL2ovRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-P889232,121539,beautyfort,Sunkissed,Sunkissed Shower Whip Pomegranate Shower Foam 250ml,ean:5055193549909,5055193549909,5055193549909,5055193549909,missing,,none,https://www.beautyfort.com/pic/ZEd5R2ZiNERhaFp3ZVlENnQxNk55NnRoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-N8293214,121540,beautyfort,Sunkissed,Sunkissed Shower Whip Winter Berry Shower Foam 250ml,ean:5055193551568,5055193551568,5055193551568,5055193551568,missing,,none,https://www.beautyfort.com/pic/NnVFeTk5N3VTRU9EWXE4MHJzQnVNS3RoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-J737881,121541,beautyfort,Aeropostale,Aeropostale Rose Colored World Body Mist 237ml Spray,ean:0810044120394,0810044120394,810044120394,810044120394,missing,,none,,0,0,0,0,0,,,1
BF-I708585,121543,beautyfort,Paco Rabanne,Paco Rabanne Invictus Aqua (2018) Eau de Toilette 100 ml Spray,ean:3349668562794,3349668562794,3349668562794,3349668562794,missing,,none,https://www.beautyfort.com/pic/eUVpbGNiMG9neUpVWnZqcjF2cnZzVHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-L125906,121544,beautyfort,Jimmy Choo,Jimmy Choo I Want Choo Forever Geschenkset 100ml EDP + 100ml Körper Lotion + 7.5ml EDP,ean:3386460134422,3386460134422,3386460134422,3386460134422,missing,,none,https://www.beautyfort.com/pic/TWxUeWdxVUhsUGxrK0RxSk0yYVczNnRoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-V301956,121545,beautyfort,Jimmy Choo,Jimmy Choo I Want Choo Forever Gift Set 100ml EDP + 7.5ml EDP,ean:3386460156028,3386460156028,3386460156028,3386460156028,missing,,none,https://www.beautyfort.com/pic/U1pld0JVYlljR0l6VmFWQUlGdE8wYXRoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-D7166108,121558,beautyfort,Rituals,Rituals The Ritual of Karma Mini Gift Set 70ml Body Cream + 50ml Foaming Shower Gel,ean:8719134170153,8719134170153,8719134170153,8719134170153,missing,,none,https://www.beautyfort.com/pic/NDVkQksrelBDUUZTVEQwZC90UktiS3RoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-B376521,121575,beautyfort,Aeropostale,Aeropostale Floral Passion Body Mist 237ml Spray,ean:0810044120370,0810044120370,810044120370,810044120370,missing,,none,,0,0,0,0,0,,,1
BF-N6411215,121576,beautyfort,Aeropostale,Aeropostale Berries & Cream Body Body Mist 237ml Spray,ean:0810044125269,0810044125269,810044125269,810044125269,missing,,none,,0,0,0,0,0,,,1
