export_id,brand,title,type,sex,volume,ean_raw,ean,stock,price,tester,shade,coverage,image_url,cdn_file,scraped_file,brasty_file
181752,Trussardi,Trussardi Pure Jasmine,Eau de Parfum,W,7 ml,8058045433132,8058045433132,1189,"0,84",0,,no_image_anywhere,,,,
181769,Versace,Eros Flame,Eau de Parfum,M,100 ml,8011003903146,8011003903146,6,"49,48",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/8011003859979-9.jpg?v=1671865566,,,
181771,Trussardi,Donna Levriero Collection,Eau de Parfum,W,100 ml,8058045432944,8058045432944,403,"11,79",1,,no_image_anywhere,,,,
181787,Angel Schlesser,Les Eaux d'Un Instant Intimate White Flowers,Eau de Toilette,UNI,100 ml,8058045426738,8058045426738,943,"5,53",1,,no_image_anywhere,,,,
181789,Pepe Jeans,Portobello Road Colorful Chaos,Body Spray,W,250 ml,8436611104523,8436611104523,20,"2,40",0,,no_image_anywhere,,,,
181790,Pepe Jeans,Portobello Road Boho Breeze,Body Spray,W,250 ml,8436611104530,8436611104530,1,"2,40",0,,no_image_anywhere,,,,
181797,BALR.,3,Eau de Parfum,M,100 ml,8719979528942,8719979528942,24,"10,10",1,,no_image_anywhere,,,,
181799,BALR.,Class,Eau de Parfum,W,100 ml,8720707130092,8720707130092,242,"9,63",1,,no_image_anywhere,,,,
181800,BALR.,Class,Eau de Parfum,M,100 ml,8720707130054,8720707130054,110,"10,10",1,,no_image_anywhere,,,,
181802,BALR.,Class Extreme,Eau de Parfum,M,100 ml,8720707130504,8720707130504,323,"10,10",1,,no_image_anywhere,,,,
181803,BALR.,2,Eau de Parfum,M,100 ml,8719979528911,8719979528911,52,"10,10",1,,no_image_anywhere,,,,
181804,BALR.,Reflect,Eau de Parfum,M,100 ml,8720707130023,8720707130023,2,"10,69",1,,no_image_anywhere,,,,
181806,BALR.,DNA,Eau de Parfum,W,50 ml,8720707130474,8720707130474,23,"8,06",0,,no_image_anywhere,,,,
181807,BALR.,DNA,Eau de Parfum,M,50 ml,8720707130481,8720707130481,66,"6,66",1,,no_image_anywhere,,,,
