sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BTS-333470,72880,bts,NYX,Nyx Can't Stop Won't Stop Full Coverage Foundation Deep Ebony 30ml,ean:0800897181284,0800897181284,800897181284,800897181284,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-333474,72884,bts,NYX,Nyx Epic Wear Waterproof Liquid Liner White,ean:0800897197179,0800897197179,800897197179,800897197179,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-341626,72890,bts,NYX,"Nyx Shine Loud Pro Pigment Lip Shine 6-Boundary Pusher 3,4ml",ean:0800897207243,0800897207243,800897207243,800897207243,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-341627,72892,bts,NYX,"Nyx Shine Loud Pro Pigment Lip Shine Make It Work 3,4ml",ean:0800897207274,0800897207274,800897207274,800897207274,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-318641,72894,bts,NYX,Nyx Shine Loud Pro Pigment Lip Shine Movin' Up,ean:0800897207304,0800897207304,800897207304,800897207304,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-318642,72895,bts,NYX,Nyx Shine Loud Pro Pigment Lip Shine Another Level,ean:0800897207311,0800897207311,800897207311,800897207311,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-318643,72898,bts,NYX,Nyx Shine Loud Pro Pigment Lip Shine Rebel In Red,ean:0800897207359,0800897207359,800897207359,800897207359,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-318644,72899,bts,NYX,Nyx Shine Loud Pro Pigment Lip Shine On A Mission,ean:0800897207366,0800897207366,800897207366,800897207366,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-318645,72900,bts,NYX,Nyx Shine Loud Pro Pigment Lip Shine Never Basic,ean:0800897207373,0800897207373,800897207373,800897207373,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-341629,72901,bts,NYX,"Nyx Shine Loud 20-In Charge 3,4ml",ean:0800897207380,0800897207380,800897207380,800897207380,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-318646,72902,bts,NYX,"Nyx Epic Wear Liner Sticks All Time Olive 1,22g",ean:0800897207458,0800897207458,800897207458,800897207458,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-318647,72904,bts,NYX,"Nyx Epic Wear Liner Sticks Turquois Storm 1,22g",ean:0800897207533,0800897207533,800897207533,800897207533,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-318648,72908,bts,NYX,"Nyx Epic Wear Liner Sticks Emerald Cut 1,22g",ean:0800897207656,0800897207656,800897207656,800897207656,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-308441,72910,bts,NYX,Nyx Epic Smoke Liner 5-Fired Up,ean:0800897216825,0800897216825,800897216825,800897216825,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-308442,72911,bts,NYX,Nyx Epic Smoke Liner 8-Sage Sparks,ean:0800897216856,0800897216856,800897216856,800897216856,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-308440,72912,bts,NYX,Nyx Epic Smoke Liner 12-Black Smoke,ean:0800897216894,0800897216894,800897216894,800897216894,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-313985,72913,bts,NYX,"Nyx Shine Loud Pro Pigment Lip Shine 26-Fierce Flirt 3,4ml",ean:0800897217877,0800897217877,800897217877,800897217877,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-313987,72914,bts,NYX,"Nyx Shine Loud Pro Pigment Lip Shine 28-Stay Stunin 3,4ml",ean:0800897217891,0800897217891,800897217891,800897217891,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-311155,72915,bts,NYX,Nyx Line Loud Lip Pencil Stick 3-Goal Crusher,ean:0800897221638,0800897221638,800897221638,800897221638,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
