ean,url,host,kind,suggested_file,already_on_cdn
192333128695,https://www.oceanfragrances.com/Foto/0192333128695.jpg,www.oceanfragrances.com,oceanfragrances,files/remote/www.oceanfragrances.com/192333128695.jpg,0
192333211779,https://www.oceanfragrances.com/Foto/0192333211779.jpg,www.oceanfragrances.com,oceanfragrances,files/remote/www.oceanfragrances.com/192333211779.jpg,0
192333232323,https://www.oceanfragrances.com/Foto/0192333232323.jpg,www.oceanfragrances.com,oceanfragrances,files/remote/www.oceanfragrances.com/192333232323.jpg,0
195106001324,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/B126465.jpg?v=1740616311,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/195106001324.jpg,0
195106001348,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/N9536213.jpg?v=1740616319,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/195106001348.jpg,0
195106001386,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/D5276108.jpg?v=1740616315,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/195106001386.jpg,0
195106001409,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/L726201.jpg?v=1740616307,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/195106001409.jpg,0
195106504849,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/N0715214.jpg?v=1740627170,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/195106504849.jpg,0
197575027461,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/0197575027461.webp,images.btswholesaler.com,bts_cdn,files/remote/images.btswholesaler.com/197575027461.webp,0
197575132288,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/0667556605068.webp,images.btswholesaler.com,bts_cdn,files/remote/images.btswholesaler.com/197575132288.webp,0
2050000926242,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/V081948.jpg?v=1740619663,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/2050000926242.jpg,0
20714001230,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/020714462758-9.jpg?v=1673046690,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/20714001230.jpg,0
20714066116,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/020714066116-9.jpg?v=1673046626,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/20714066116.jpg,0
20714066123,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/020714066123-9.jpg?v=1673046339,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/20714066123.jpg,0
20714080310,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/V41103.jpg?v=1740618006,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/20714080310.jpg,0
20714170479,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/D6895.jpg?v=1740610278,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/20714170479.jpg,0
20714170486,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/Y65568.jpg?v=1740610275,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/20714170486.jpg,0
20714235901,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/020714235901-9.jpg?v=1672678145,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/20714235901.jpg,0
20714324674,https://cdn.shopify.com/s/files/1/0679/9792/5684/products/020714324674-9_1.jpg?v=1673046552,cdn.shopify.com,shopify,files/remote/cdn.shopify.com/20714324674.jpg,0
