sku,name,brand,vendor,vendor_product_id,primary_ean,extra_eans,lookup_ean,wp_post_id,slug,stock,vendor_image_url,identity_key
BTS-414053,Essence Cosmetics Gel Nail Polish Esmalte De Uñas 45- Dusk Till Yawn 8ml,ESSENCE COSMETICS,bts,414053,4059729585851,,4059729585851,89996,essence-cosmetics-gel-nail-polish-esmalte-de-unas-45-dusk-till-yawn-8ml-bts-414053,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729585851
BTS-413747,Essence Cosmetics Glow For It Tratamiento Labial De Glicerina 01-Glow For It 12g,ESSENCE COSMETICS,bts,413747,4059729585240,,4059729585240,89954,essence-cosmetics-glow-for-it-tratamiento-labial-de-glicerina-01-glow-for-it-12g-bts-413747,8,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729585240
BTS-413748,Essence Cosmetics Glow For It Tratamiento Labial De Glicerina 02-Glow Me Maybe 12g,ESSENCE COSMETICS,bts,413748,4059729593870,,4059729593870,90111,essence-cosmetics-glow-for-it-tratamiento-labial-de-glicerina-02-glow-me-maybe-12g-bts-413748,10,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729593870
BTS-414056,Essence Cosmetics Glow Like Honey Sérum Spray Facial 50ml,ESSENCE COSMETICS,bts,414056,4059729584700,,4059729584700,89923,essence-cosmetics-glow-like-honey-serum-spray-facial-50ml-bts-414056,5,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729584700
BTS-332692,"Essence Cosmetics Hello, Good Stuff! Fijador Hidratante 48h Spray 50ml",ESSENCE COSMETICS,bts,332692,4059729407160,,4059729407160,89392,essence-cosmetics-hello-good-stuff-fijador-hidratante-48h-spray-50ml-bts-332692,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729407160
BTS-316790,"Essence Cosmetics Hello, Good Stuff! Glow Serum Primer 30ml",ESSENCE COSMETICS,bts,316790,4059729360717,,4059729360717,89325,essence-cosmetics-hello-good-stuff-glow-serum-primer-30ml-bts-316790,2,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729360717
BTS-316792,"Essence Cosmetics Hello, Good Stuff! Primer Hydrate y Plump Sérum Para Rostro 30ml",ESSENCE COSMETICS,bts,316792,4059729338792,,4059729338792,89298,essence-cosmetics-hello-good-stuff-primer-hydrate-y-plump-serum-para-rostro-30ml-bts-316792,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729338792
BTS-386650,"Essence Cosmetics Hello, Good Stuff! Sérum Iluminador Glow-C 30ml",ESSENCE COSMETICS,bts,386650,4059729517166,,4059729517166,89679,essence-cosmetics-hello-good-stuff-serum-iluminador-glow-c-30ml-bts-386650,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729517166
BTS-394680,Essence Cosmetics Hydra Kiss Aceite De Labios 07-Classy Glassy 4ml,ESSENCE COSMETICS,bts,394680,4059729518729,,4059729518729,89721,essence-cosmetics-hydra-kiss-aceite-de-labios-07-classy-glassy-4ml-bts-394680,8,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729518729
BTS-414142,Essence Cosmetics Hydra Kiss Aceite De Labios 11-Rosy Sparkle 4ml,ESSENCE COSMETICS,bts,414142,4059729584977,,4059729584977,89936,essence-cosmetics-hydra-kiss-aceite-de-labios-11-rosy-sparkle-4ml-bts-414142,15,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729584977
BTS-393874,Essence Cosmetics I Love Extreme Blue Crazy Volume Máscara De Pestañas Volumen 12ml,ESSENCE COSMETICS,bts,393874,4059729487704,,4059729487704,89502,essence-cosmetics-i-love-extreme-blue-crazy-volume-mascara-de-pestanas-volumen-12ml-bts-393874,25,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729487704
BTS-400765,Essence Cosmetics Jelly Grip Prebase De Sombras 4ml,ESSENCE COSMETICS,bts,400765,4059729541819,,4059729541819,89800,essence-cosmetics-jelly-grip-prebase-de-sombras-4ml-bts-400765,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729541819
